,tweet,date,id,location,id_user,score,Country,Country_real,Compound
67,RT @BrandiLynn4Ever: I need you to understand that something horrific is getting ready to happen in this country. Listen to the words comin…,2022-12-06 23:59:41+00:00,1600278839816380417,,1381031250274754560,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}",,,-0.4767
68,"RT @CollinRugg: JUST IN: Elon Musk just fired Twitter’s Deputy General Counsel Jim Baker for suppressing information.

Elon is making Twitt…",2022-12-06 23:59:41+00:00,1600278839787409409,Oregon turning RED,457289069,"{'neg': 0.164, 'neu': 0.743, 'pos': 0.093, 'compound': -0.4404}",Oregon turning RED,,-0.4404
69,"AG Live: Elon Musk, Bob Iger, and AI art ethics https://t.co/rArsGPNIvT",2022-12-06 23:59:41+00:00,1600278836822052870,"Austin, TX",12423822,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}",Austin TX,United States,-0.5574
70,"RT @Belinda71555585: BREAKING: The US Government has launched an investigation into Elon Musk's Neuralink.

How long will we put up with th…",2022-12-06 23:59:40+00:00,1600278834816884736,@legadouribevel,1167289520951369728,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",legadouribevel,,0.0
71,Elon Musk on the far left — Bryanston High School — 1985 - Chess A Team photo.♥️ https://t.co/bwxjdPVZxv,2022-12-06 23:59:40+00:00,1600278833852129280,,17532191,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.128}",,,0.128
72,RT @thebradfordfile: Elon Musk is doing more to expose the FBI than the GOP.,2022-12-06 23:59:40+00:00,1600278832342519808,"Delaware, USA",901726607857082368,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Delaware USA,United States,0.0
73,"RT @Cl1Richard: So Elon Musk is considering labelling the CBC as 
“State affiliated media”! I call the CBC Trudeau’s Propaganda Arm! https:…",2022-12-06 23:59:38+00:00,1600278825447063552,,1485880328690409472,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.2212}",,,-0.2212
74,RT @OccupyDemocrats: BREAKING: A federal agency begins investigating Elon Musk’s medical device company Neuralink after it killed numerous…,2022-12-06 23:59:38+00:00,1600278825442549762,New York,32543739,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.3786}",New York,United States,-0.3786
75,"RT @tedcruz: Elon Musk has released the receipts. Democrats were fully in on weaponizing Big Tech!

#TwitterFiles https://t.co/2UsylfGLbB",2022-12-06 23:59:38+00:00,1600278824544935936,,2947987814,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.6705}",,,-0.6705
76,"RT @CollinRugg: Elon Musk caught the FBI in bed with Twitter and exposed it for the whole world to see.

I love New Twitter.",2022-12-06 23:59:37+00:00,1600278823098109954,"Ocean City, MD",1597281485597319171,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Ocean City MD,United States,0.0
77,"RT @Belinda71555585: BREAKING: The US Government has launched an investigation into Elon Musk's Neuralink.

How long will we put up with th…",2022-12-06 23:59:37+00:00,1600278823026970624,,1129351184962248704,"{'neg': 0.049, 'neu': 0.792, 'pos': 0.158, 'compound': 0.5994}",,,0.5994
78,RT @DavidKotiw: BREAKING: Elon Musk is considering putting together a team of experts to fact check all the false things government officia…,2022-12-06 23:59:37+00:00,1600278821575348224,Lagrange NY,813836834396655616,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.128}",Lagrange NY,United States,0.128
79,@DESATlVA elon musk tinha que tirar essa gnt da internet,2022-12-06 23:59:37+00:00,1600278820556197888,,1248501965094449153,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
80,@Rconstantino Olha que esse verme o estúpido lixo mane asqueroso repugnante asno  Elon musk e um mane  perdeu mané não amole 🤣🤣🤣🤣🤣🤣,2022-12-06 23:59:36+00:00,1600278819155234817,"Imperatriz, Brasil",1588995911509753856,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Imperatriz Brasil,Brasil,0.0
81,RT @TheMarcitect: The fact Elon Musk is openly telling us he could be assassinated should be a reminder to everyone what we are all up agai…,2022-12-06 23:59:36+00:00,1600278818954125314,,1594144562901032961,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
82,RT @thebradfordfile: Elon Musk is doing more to expose the FBI than the GOP.,2022-12-06 23:59:36+00:00,1600278816689004544,God's Blessed State,1558851780460642306,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Gods Blessed State,,0.0
83,RT @mdt546: Twitter CEO Elon Musk says all media that receives government funding should be slapped with an affiliated warning label so rea…,2022-12-06 23:59:35+00:00,1600278815145500672,,871625678851981312,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.2212}",,,-0.2212
84,RT @thebradfordfile: Elon Musk is doing more to expose the FBI than the GOP.,2022-12-06 23:59:35+00:00,1600278812981399557,"Norman, OK",1519291404178051072,"{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.34}",Norman OK,United States,-0.34
85,RT @thebradfordfile: Elon Musk is doing more to expose the FBI than the GOP.,2022-12-06 23:59:35+00:00,1600278812373024768,,1325127251688628229,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.2212}",,,-0.2212
86,RT @Bubblebathgirl: James Baker was just fired from Twitter due to his “role in suppression of information important to the public dialogue…,2022-12-06 23:59:34+00:00,1600278810653401088,,1548101142113951747,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.2212}",,,-0.2212
87,Elon Musk Warns He Isn’t ‘Suicidal’ — But His Enemies Can Get Him In Other Ways https://t.co/iNXIYTfSMN,2022-12-06 23:59:34+00:00,1600278809789726721,,1215486846798569473,"{'neg': 0.142, 'neu': 0.787, 'pos': 0.071, 'compound': -0.4215}",,,-0.4215
88,"RT @NinjaSwingSword: Fuck:

Kanye West
Nick Fuentes
Elon Musk
Nick Adams
Candace Owens
Terrence K Williams
Tucker Carlson
Ted Cruz
Diamond…",2022-12-06 23:59:33+00:00,1600278806375239680,Like Chickenman I'm everywhere,3383116294,"{'neg': 0.282, 'neu': 0.718, 'pos': 0.0, 'compound': -0.6705}",Like Chickenman Im everywhere,,-0.6705
89,RT @thebradfordfile: This is bigger than twitter. Elon Musk is exposing the entire corrupt system of the ruling class.,2022-12-06 23:59:33+00:00,1600278805515411456,The Unigov,1363997228420001794,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.5423}",The Unigov,,-0.5423
90,"RT @CollinRugg: JUST IN: Elon Musk just fired Twitter’s Deputy General Counsel Jim Baker for suppressing information.

Elon is making Twitt…",2022-12-06 23:59:33+00:00,1600278804693282817,,1005261408,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2732}",,,-0.2732
91,RT @thebradfordfile: Elon Musk is doing more to expose the FBI than the GOP.,2022-12-06 23:59:33+00:00,1600278804412657665,Vancouver,891571648406671362,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}",Vancouver,Canada,-0.5574
92,"RT @platypupu: 2018년 이후 류럴링크 실험으로 희생된 동물이 1,500마리에 이른다네요...

https://t.co/I7XSHm0FhZ",2022-12-06 23:59:33+00:00,1600278804240695297,크리스l38l57l오키타l소서l소서Dl류조P,964148356174946304,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.2212}",크리스l38l57l오키타l소서l소서Dl류조P,,-0.2212
93,RT @ACTBrigitte: Twitter is the most popular social media platform right now because Elon Musk restored free speech.,2022-12-06 23:59:33+00:00,1600278802994601986,,817114116427022338,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
